Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url,doc,name,fund_type,id,subscription,switching,redemption,management,trustee,performance,admin,file_id,freq
CICC Fund Series (BNL441),CICC China Equity Fund (BSQ366),China International Capital Corporation Hong Kong Asset Management Limited,20/7/2022,Offering Documents,No,BNL441,BSQ366,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ366&docType=OD,1.0,cicc china equity fund,stock,BSQ366,5%,0,0,1.25%,1%,0,0,BSQ366,daily
Fidelity Selected Funds (BSG286),Short Duration Quality Income Fund (BSG287),FIL Investment Management (Hong Kong) Limited,13/7/2022,Offering Documents,No,BSG286,BSG287,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG287&docType=OD,1.0,short duration quality income fund,bond,BSG287,0,3.50%,0,0.0175%,0.0175%,0,0.0175%,BSG287,daily
Manulife Global Fund (ABG535),Manulife Global Fund - Asia Dynamic Income Fund (BSI430),Manulife Investment Management (Ireland) Limited,4/7/2022,Offering Documents,No,ABG535,BSI430,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI430&docType=OD,1.0,manulife global fund - asia dynamic income fund,bond,BSI430,5%,1%,0,0.013%,0,0,0.5%,BSI430,daily
Manulife Global Fund (ABG535),Manulife Global Fund - Asian Short Duration Bond Fund (BSI431),Manulife Investment Management (Ireland) Limited,4/7/2022,Offering Documents,No,ABG535,BSI431,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI431&docType=OD,1.0,manulife global fund - asian short duration bond fund,bond,BSI431,3%,1%,0,0.013%,0,0,0.5%,BSI431,daily
Manulife Hong Kong Series (BFE015),Manulife Global Multi-Asset Diversified Income Fund (BSG912),Manulife Investment Management (Hong Kong) Limited,17/6/2022,Offering Documents,No,BFE015,BSG912,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG912&docType=OD,1.0,manulife global multi-asset diversified income fund,bond,BSG912,0,1%,0,0,0,0,0,BSG912,daily
Bosera Global Public Funds Series Open-ended Fund Company (BRK534),Bosera USD Money Market Fund (BSG677),"Bosera Asset Management (International) Co., Limited",15/6/2022,Offering Documents,No,BRK534,BSG677,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG677&docType=OD,1.0,bosera usd money market fund,other,BSG677,1%,1%,0,0.15%,0,0,0,BSG677,daily
Zurich Invest ICAV (BRY373),Zurich Blue Adventurous Fund (BRY374),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY374,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY374&docType=OD,1.0,zurich blue adventurous fund,other,BRY374,5%,0,0,2%,0,0,2%,BRY374,daily
Zurich Invest ICAV (BRY373),Zurich Blue Balanced Fund (BRY375),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY375,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY375&docType=OD,1.0,zurich blue balanced fund,other,BRY375,5%,0,0,2%,0,0,2%,BRY375,daily
Zurich Invest ICAV (BRY373),Zurich Blue Cautious Fund (BRY376),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY376,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY376&docType=OD,1.0,zurich blue cautious fund,other,BRY376,5%,0,0,2%,0,0,2%,BRY376,daily
Zurich Invest ICAV (BRY373),Zurich Blue Performance Fund (BRY377),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY377,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY377&docType=OD,1.0,zurich blue performance fund,other,BRY377,5%,0,0,2%,0,2%,2%,BRY377,daily
Schroder International Selection Fund (AEU509),Healthcare Innovation (BSI024),Schroder Investment Management (Europe) S.A.,6/6/2022,Offering Documents,No,AEU509,BSI024,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI024&docType=OD,1.0,healthcare innovation,other,BSI024,5.00%,1.00%,0,1.50%,0,0,0.25%,BSI024,daily
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Credit Income Fund (BSE506),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE506,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE506&docType=OD,1.0,wellington credit income fund,bond,BSE506,0,1%,0,1.15%,0,0,0,BSE506,daily
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Global Property Income Fund (BSE505),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE505,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE505&docType=OD,1.0,wellington global property income fund,bond,BSE505,0,1%,0,1.50%,0,0,0,BSE505,daily
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Multi-Asset High Income Fund (BSE507),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE507,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE507&docType=OD,1.0,wellington multi-asset high income fund,bond,BSE507,0,1%,0,0,0,0,0,BSE507,daily
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington US Quality Growth Fund (BSE504),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE504,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE504&docType=OD,1.0,wellington us quality growth fund,stock,BSE504,0,1%,0,1.65%,0,0,0,BSE504,daily
HSBC Global Money Funds (AAW227),HSBC Global Money Funds - Renminbi (BSH331),HSBC Investment Funds (Hong Kong) Limited,27/5/2022,Offering Documents,No,AAW227,BSH331,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH331&docType=OD,1.0,hsbc global money funds - renminbi,other,BSH331,0%,0,0,0.30%,0.03%,0,0,BSH331,daily
Taikang Kaitai Funds (BBQ508),Taikang Kaitai US Dollar Money Market Fund (BSG589),Taikang Asset Management (Hong Kong) Company Limited,25/5/2022,Offering Documents,No,BBQ508,BSG589,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG589&docType=OD,1.0,taikang kaitai us dollar money market fund,other,BSG589,5%,1%,0,0.40%,0.075%,0,0,BSG589,daily
Neuberger Berman Investment Funds plc (BAU636),Neuberger Berman Sustainable Asia High Yield Fund (BSI123),Neuberger Berman Asset Management Ireland Limited,24/5/2022,Offering Documents,No,BAU636,BSI123,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI123&docType=OD,1.0,neuberger berman sustainable asia high yield fund,bond,BSI123,5%,1%,0,1.20%,0,0,0.20%,BSI123,daily
GFI Unit Trust Series (BNR582),GFI Select Greater China Growth Fund (BSG488),GF International Investment Management Limited,17/5/2022,Offering Documents,No,BNR582,BSG488,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG488&docType=OD,1.0,gfi select greater china growth fund,stock,BSG488,,,,,,,,,
Invesco Trust Series (BFA964),Invesco Asia Asset Allocation Feeder Fund (BSE863),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),6/5/2022,Offering Documents,No,BFA964,BSE863,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE863&docType=OD,1.0,invesco asia asset allocation feeder fund,other,BSE863,5%,1%,0,0.00%,0,0,0,BSE863,daily
Invesco Trust Series (BFA964),Invesco Global Investment Grade Corporate Bond Feeder Fund (BSE862),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),6/5/2022,Offering Documents,No,BFA964,BSE862,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE862&docType=OD,1.0,invesco global investment grade corporate bond feeder fund,bond,BSE862,5%,1%,0,0.00%,0,0,0,BSE862,daily
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Climate Transition Bond Fund (BSE912),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,AAN337,BSE912,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE912&docType=OD,1.0,aberdeen standard sicav i - climate transition bond fund,bond,BSE912,5.0%,1%,0,0.80%,0,0,0.60%,BSE912,monthly
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Sustainable Development Equity Fund (BSE913),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,AAN337,BSE913,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE913&docType=OD,1.0,aberdeen standard sicav i - emerging markets sustainable development equity fund,stock,BSE913,5.0%,1%,0,1.30%,0,0,0.60%,BSE913,daily
ChinaAMC Select Fund (AVL899),ChinaAMC Select RMB Investment Grade Income Fund (BSG024),China Asset Management (Hong Kong) Limited,26/4/2022,Offering Documents,No,AVL899,BSG024,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG024&docType=OD,1.0,chinaamc select rmb investment grade income fund,bond,BSG024,,,,,,,,,
UBS (HK) Fund Series (BHX642),UBS (HK) Fund Series - China Health Care Equity (USD) (BSD076),UBS Asset Management (Hong Kong) Limited,19/4/2022,Offering Documents,No,BHX642,BSD076,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD076&docType=OD,1.0,ubs (hk) fund series - china health care equity (usd),stock,BSD076,3%,0,0,1.72%,0.09%,0,0,BSD076,daily
AXA World Funds (AEU586),AXA World Funds - Framlington Evolving Trends (BSF129),AXA Funds Management S.A.,13/4/2022,Offering Documents,No,AEU586,BSF129,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF129&docType=OD,1.0,axa world funds - framlington evolving trends,other,BSF129,5.50%,0,0,1.50%,0,0,0.50%,BSF129,daily
AXA World Funds (AEU586),AXA World Funds - Global Factors - Sustainable Equity (BSF128),AXA Funds Management S.A.,13/4/2022,Offering Documents,No,AEU586,BSF128,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF128&docType=OD,1.0,axa world funds - global factors - sustainable equity,stock,BSF128,5.50%,0,0,0.45%,0,0,0.50%,BSF128,daily
BlackRock Premier Funds (BAV201),Dynamic High Income Fund (BSE922),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,BAV201,BSE922,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE922&docType=OD,1.0,dynamic high income fund,bond,BSE922,3%,0,0,2%,0,0,0,BSE922,daily
BlackRock Premier Funds (BAV201),Systematic Global Equity High Income Fund (BSE923),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,BAV201,BSE923,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE923&docType=OD,1.0,systematic global equity high income fund,bond,BSE923,3%,0,0,2%,0,0,0,BSE923,daily
CFund (BNJ536),CFund - Dynamic Income (BSE527),Pickers Capital Management Limited,8/4/2022,Offering Documents,No,BNJ536,BSE527,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE527&docType=OD,1.0,cfund - dynamic income,bond,BSE527,5%,5%,0,1.25%,0.15%,0,0,BSE527,daily
Goldman Sachs Funds (BMX642),Goldman Sachs All China Equity Portfolio (BRZ973),Goldman Sachs Asset Management Fund Services Limited,6/4/2022,Offering Documents,No,BMX642,BRZ973,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ973&docType=OD,1.0,goldman sachs all china equity portfolio,stock,BRZ973,5.50%,0,0,0,0,0,0,BRZ973,daily
Goldman Sachs Funds (BMX642),Goldman Sachs India Equity Portfolio (BRZ974),Goldman Sachs Asset Management Fund Services Limited,6/4/2022,Offering Documents,No,BMX642,BRZ974,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ974&docType=OD,1.0,goldman sachs india equity portfolio,stock,BRZ974,5.50%,0,0,1.75%,0,0,0,BRZ974,daily
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Balanced Sustainable (USD) (BRX762),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX762,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX762&docType=OD,1.0,ubs (lux) strategy fund - balanced sustainable (usd),other,BRX762,4%,4%,0,0,0,0,1.300%,BRX762,daily
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Fixed Income Sustainable (USD) (BRX763),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX763,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX763&docType=OD,1.0,ubs (lux) strategy fund - fixed income sustainable (usd),bond,BRX763,3%,3%,0,0,0,0,0.860%,BRX763,daily
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Growth Sustainable (USD) (BRX764),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX764,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX764&docType=OD,1.0,ubs (lux) strategy fund - growth sustainable (usd),stock,BRX764,4%,4%,0,0,0,0,1.440%,BRX764,daily
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund – Yield Sustainable (USD) (BRX765),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX765,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX765&docType=OD,1.0,ubs (lux) strategy fund – yield sustainable (usd),bond,BRX765,4%,4%,0,0,0,0,1.150%,BRX765,daily
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global High Yield Bond Fund (BRX486),BNY Mellon Fund Management (Luxembourg) S.A.,17/3/2022,Offering Documents,No,AGR102,BRX486,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX486&docType=OD,1.0,bny mellon global high yield bond fund,bond,BRX486,5%,5%,0,1.25%,0,0,0.60%,BRX486,daily
Fullgoal International Funds SICAV (BNY661),Fullgoal China Equity Fund (BRS921),LEMANIK ASSET MANAGEMENT S.A.,16/3/2022,Offering Documents,No,BNY661,BRS921,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRS921&docType=OD,1.0,fullgoal china equity fund,stock,BRS921,5%,0,0,1.80%,0,0,0.04%,BRS921,daily
Barings Umbrella Fund plc (BNC267),Barings Developed and Emerging Markets High Yield Bond Fund (BSD678),Baring International Fund Managers (Ireland) Limited,14/3/2022,Offering Documents,No,BNC267,BSD678,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD678&docType=OD,1.0,barings developed and emerging markets high yield bond fund,bond,BSD678,5%,5%,0,1.25%,0,0,0,BSD678,daily
PineBridge Global Funds (ALL921),PineBridge Asian High Yield Total Return Bond Fund (BRZ231),PineBridge Investments Ireland Limited,4/3/2022,Offering Documents,No,ALL921,BRZ231,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ231&docType=OD,1.0,pinebridge asian high yield total return bond fund,bond,BRZ231,5.00%,3.00%,3.00%,1.50%,0.30%,0,0.30%,BRZ231,daily
Natixis International Funds (Lux) I (BAA243),Thematics AI and Robotics Fund (BRV516),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV516,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV516&docType=OD,1.0,thematics ai and robotics fund,other,BRV516,4%,0,0,1.92%,0,0,0,BRV516,daily
Natixis International Funds (Lux) I (BAA243),Thematics Meta Fund (BRV517),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV517&docType=OD,1.0,thematics meta fund,other,BRV517,4%,0,0,1.92%,0,0,0.06%,BRV517,daily
Natixis International Funds (Lux) I (BAA243),Thematics Safety Fund (BRV518),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV518,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV518&docType=OD,1.0,thematics safety fund,other,BRV518,4%,0,0,1.93%,0,0,0.01%,BRV518,daily
Natixis International Funds (Lux) I (BAA243),Thematics Subscription Economy Fund (BRV520),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV520,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV520&docType=OD,1.0,thematics subscription economy fund,other,BRV520,4%,0,0,1.90%,0,0,0.01%,BRV520,daily
Natixis International Funds (Lux) I (BAA243),Thematics Water Fund (BRV519),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV519,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV519&docType=OD,1.0,thematics water fund,other,BRV519,4%,0,0,1.91%,0,0,0.01%,BRV519,daily
Janus Henderson Horizon Fund (ADL924),Janus Henderson Horizon Fund - Sustainable Future Technologies Fund (BRZ849),Janus Henderson Investors Europe S.A.,18/2/2022,Offering Documents,No,ADL924,BRZ849,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ849&docType=OD,1.0,janus henderson horizon fund - sustainable future technologies fund,other,BRZ849,5%,1%,0,0,0,0,0.18%,BRZ849,daily
E Fund SICAV (BRR528),E Fund (HK) Greater China Quality Growth Fund (BRR529),LEMANIK ASSET MANAGEMENT S.A.,17/2/2022,Offering Documents,No,BRR528,BRR529,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRR529&docType=OD,1.0,e fund (hk) greater china quality growth fund,stock,BRR529,5%,1%,2%,0.05%,0,0,0.0375%,BRR529,daily
UBS (Lux) Equity SICAV (AQQ447),UBS (Lux) Equity SICAV - Global Opportunity Sustainable (USD) (BRX809),UBS Fund Management (Luxembourg) S.A.,16/2/2022,Offering Documents,No,AQQ447,BRX809,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX809&docType=OD,1.0,ubs (lux) equity sicav - global opportunity sustainable (usd),stock,BRX809,5%,0,0,1.80%,0,0,0,BRX809,daily
Eastspring Investments (APD368),Eastspring Investments - China Bond Fund (BRV896),Eastspring Investments (Luxembourg) S.A.,11/2/2022,Offering Documents,No,APD368,BRV896,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV896&docType=OD,1.0,eastspring investments - china bond fund,bond,BRV896,3%,0,0,0.80%,0,0,0,BRV896,daily
BOCHK Wealth Creation Series (AYX421),BOCHK All Weather China New Dynamic Equity Fund (BRV011),BOCHK Asset Management Limited,7/2/2022,Offering Documents,No,AYX421,BRV011,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV011&docType=OD,1.0,bochk all weather china new dynamic equity fund,stock,BRV011,5.25%,5.25%,0,1.5%,0.125%,0,0,BRV011,daily
